경과월수,log_인구밀집,업종,rating,course_len,score_seoul,few_hole,med_hole,many_hole,수도권,강원권,호서권,호남권,영남권,제주권,log_pv
1.0,8.85268794713759,0.0,4.19,1.0867056910410755,3.725436488299475,1,0,0,0,1,0,0,0,0,23.78046561822256
0.475,7.243477191148673,0.0,4.13,2.1228786211102024,5.414220869932242,0,1,0,0,1,0,0,0,0,25.295234653462636
0.4791666666666667,7.545579004132013,0.0,4.13,1.864581732053272,5.085524899560346,0,1,0,0,1,0,0,0,0,25.158974271353497
0.43333333333333335,7.799554029984103,0.0,4.25,1.7655684071858302,4.493057281487977,0,0,1,0,1,0,0,0,0,25.5904710213454
0.11666666666666667,5.211174823743146,0.0,4.12,1.52317418647895,1.8139945028080795,0,0,1,0,1,0,0,0,0,26.341186244225284
0.5041666666666667,6.7971459701993115,0.0,4.12,1.769023353314346,5.883693812794652,0,0,1,0,1,0,0,0,0,25.78253976907829
0.6208333333333333,7.136953967768928,0.0,4.12,1.486919956553303,4.128302259811115,0,1,0,0,1,0,0,0,0,25.517739516202642
0.9125,7.689069207751549,1.0,4.28,1.8368986549095525,6.5799209533583305,0,1,0,1,0,0,0,0,0,25.61192637971871
0.008333333333333333,7.93183497900483,0.0,4.32,1.5343745635703545,5.3023605057719845,0,1,0,1,0,0,0,0,0,24.86093347990453
0.19583333333333333,8.108050852153891,0.0,4.12,1.5669132930044087,5.696126107700543,0,1,0,1,0,0,0,0,0,25.683562703256644
0.7208333333333333,7.180275850908245,0.0,4.27,0.8782726158715166,4.467532236654122,1,0,0,1,0,0,0,0,0,24.001217937106464
0.5583333333333333,9.17700631566634,1.0,4.28,1.481176060312663,4.973693108109411,0,1,0,1,0,0,0,0,0,25.761936936182494
0.09583333333333334,8.218735474518185,0.0,4.22,0.8117960266105871,5.355427466682218,1,0,0,1,0,0,0,0,0,24.0870910361843
0.35,10.332349603507236,0.0,4.25,1.8163794905578965,4.144661646625911,0,1,0,0,0,0,0,1,0,25.101694589153446
0.6541666666666667,9.23910820118329,1.0,4.12,1.855683244621048,3.1419963025542104,0,1,0,0,0,0,0,1,0,25.386400202306532
0.6583333333333333,9.798298328701218,0.0,4.22,0.7700335641266225,0.0,1,0,0,0,0,1,0,0,0,24.947378570088585
0.5583333333333333,9.117262289311922,0.0,4.3,0.6411801126808758,3.539844239770896,1,0,0,0,0,0,0,1,0,23.288756608796486
0.49166666666666664,10.37906366010473,0.0,4.28,1.0711715444050462,7.644660728946196,0,1,0,1,0,0,0,0,0,25.935517911109876
0.36666666666666664,8.255722456587677,0.0,4.25,2.5478635572406607,3.900372891387521,0,0,1,0,0,0,1,0,0,26.096602568291097
0.575,5.133095088043685,0.0,4.22,1.882265651245699,0.0,0,1,0,0,0,0,1,0,0,24.836300759528367
1.0,9.110429105158524,0.0,4.12,0.7995993330047616,8.894663803503247,1,0,0,0,0,0,0,0,1,23.910886070191196
0.07083333333333333,7.577809157533549,0.0,4.28,1.945789119263377,0.2863719251447371,0,1,0,0,0,1,0,0,0,24.419737218984526
0.15,7.927662793991141,0.0,4.12,1.7948685864749625,0.0,0,1,0,0,0,1,0,0,0,25.136101121805638
0.43333333333333335,6.935460167486248,0.0,4.2,1.6141169257904382,0.0,0,1,0,0,0,1,0,0,0,24.859673935587015
0.25833333333333336,8.448663224196526,0.0,4.18,1.09456826704156,2.272253413416505,1,0,0,0,0,1,0,0,0,23.74355257538579
0.2791666666666667,7.766602747107178,0.0,4.35,1.5159821366879598,1.8947323763656956,0,0,1,0,0,1,0,0,0,25.831967962432227
